method,accuracy,dem_parity_diff,equalized_odds_diff,disparate_impact,delta_accuracy,delta_dem_parity_diff,delta_equalized_odds_diff,delta_disparate_impact,improves_dem_parity,improves_eq_odds,improves_disp_impact
Baseline (BERT_score -> LR),0.5458333333333333,0.21666666666666667,0.3452380952380952,0.59375,0.0,0.0,0.0,0.0,False,False,False
Reweighing (BERT_score -> LR),0.5458333333333333,0.21666666666666667,0.3452380952380952,0.59375,0.0,0.0,0.0,0.0,False,False,False
ExponentiatedGradient (DP constraint),0.475,0.19838709677419353,0.4208333333333333,0.6382352941176471,-0.0708333333333333,-0.018279569892473146,0.0755952380952381,0.04448529411764712,True,False,True
ThresholdOptimizer (DP post-process),0.5625,0.017241379310344807,0.16666666666666663,0.9655172413793104,0.01666666666666672,-0.19942528735632187,-0.17857142857142855,0.3717672413793104,True,True,True
