method,accuracy,dem_parity_diff,equalized_odds_diff,disparate_impact
Baseline (BERT_score -> LR),0.5291666666666667,0.09462365591397849,0.1402116402116402,0.41333333333333333
Reweighing (BERT_score -> LR),0.5291666666666667,0.09462365591397849,0.1402116402116402,0.41333333333333333
ExponentiatedGradient (Demographic Parity),0.5291666666666667,0.09462365591397849,0.1402116402116402,0.41333333333333333
ThresholdOptimizer (Demographic Parity),0.5333333333333333,0.14022988505747125,0.16835016835016836,0.32222222222222224
