method,accuracy,dem_parity_diff,equalized_odds_diff,disparate_impact,delta_accuracy,delta_dem_parity_diff,delta_equalized_odds_diff,delta_disparate_impact,improves_dem_parity,improves_eq_odds,improves_disp_impact
Baseline (BERT_score -> LR),0.5291666666666667,0.09462365591397849,0.1402116402116402,0.41333333333333333,0.0,0.0,0.0,0.0,False,False,False
Reweighing (BERT_score -> LR),0.5291666666666667,0.09462365591397849,0.1402116402116402,0.41333333333333333,0.0,0.0,0.0,0.0,False,False,False
ExponentiatedGradient (Demographic Parity),0.5291666666666667,0.09462365591397849,0.1402116402116402,0.41333333333333333,0.0,0.0,0.0,0.0,False,False,False
ThresholdOptimizer (Demographic Parity),0.5333333333333333,0.14022988505747125,0.16835016835016836,0.32222222222222224,0.004166666666666652,0.04560622914349276,0.028138528138528157,-0.09111111111111109,False,False,False
